time_sec,elapsed_sec,confidence,visible,avg_speed_mps,ips_x_m,ips_y_m,speed_mps,throttle_command,steering_command
1786466216.841184616,0.000000,0.000000,0,0.000000,-20.872700,4.577500,0.000000,0.000000,0.000000
1786466216.891018629,0.049834,0.000000,0,0.000000,-20.872700,4.577500,0.000000,0.000000,0.000000
1786466216.941180706,0.099996,0.000000,0,0.000000,-20.872700,4.577500,0.000000,0.000000,0.000000
1786466216.991025448,0.149841,0.000000,0,0.000000,-20.872700,4.577500,0.000000,0.130000,0.000000
1786466217.041039705,0.199855,0.000000,0,0.000000,-20.872700,4.577500,0.000000,0.130000,0.000000
1786466217.091091394,0.249907,0.000000,0,0.000000,-20.872700,4.577500,0.000000,0.130000,0.000000
1786466217.140982866,0.299798,0.000000,0,0.075759,-20.855300,4.592100,0.313072,0.130000,0.000000
1786466217.191025496,0.349841,0.000000,0,0.064922,-20.855300,4.592100,0.313072,0.130000,-0.000707
1786466217.241102934,0.399918,0.000000,0,0.219708,-20.805400,4.634000,0.914936,0.130000,-0.000707
1786466217.291067362,0.449883,0.000000,0,0.420928,-20.727600,4.699200,1.397868,0.130000,-0.000894
1786466217.341074705,0.499890,0.000000,0,0.378811,-20.727600,4.699200,1.397868,0.130000,-0.000894
1786466217.391107082,0.549922,0.000000,0,0.597062,-20.621200,4.788600,2.005831,0.130000,-0.001113
1786466217.440998316,0.599814,0.000000,0,0.845020,-20.484400,4.903300,2.637202,0.130000,-0.001113
1786466217.491008997,0.649824,0.000000,0,1.100905,-20.324600,5.037300,2.824264,0.130000,-0.000653
1786466217.541090250,0.699906,0.000000,0,1.022136,-20.324600,5.037300,2.824264,0.130000,-0.000653
1786466217.591039181,0.749855,0.000000,0,1.262941,-20.147000,5.186000,3.213239,0.130000,-0.017199
1786466217.641162872,0.799978,0.000000,0,1.483800,-19.963000,5.340100,3.251478,0.130000,-0.017199
1786466217.691024780,0.849840,0.000000,0,1.396769,-19.963000,5.340100,3.251478,0.130000,-0.017169
1786466217.741102695,0.899918,0.000000,0,1.568087,-19.790900,5.483700,3.246766,0.130000,-0.017169
1786466217.791072607,0.949888,0.000000,0,1.742006,-19.603100,5.638800,3.459230,0.130000,-0.011557
1786466217.841059923,0.999875,0.000000,0,1.872635,-19.434600,5.776600,3.140030,0.130000,-0.011557
1786466217.891170979,1.049986,0.000000,0,1.783221,-19.434600,5.776600,3.140030,0.130000,0.008008
1786466217.941017628,1.099833,0.000000,0,1.909169,-19.257900,5.919700,3.384196,0.130000,0.008008
1786466217.991007566,1.149823,0.000000,0,2.021099,-19.083200,6.060100,3.102129,0.130000,0.021908
1786466218.041097641,1.199913,0.000000,0,1.936710,-19.083200,6.060100,3.102129,0.130000,0.021908
1786466218.091164112,1.249979,0.000000,0,2.046280,-18.900600,6.206300,3.429912,0.130000,0.047850
1786466218.141013622,1.299829,0.000000,0,2.140256,-18.726100,6.347000,3.015650,0.130000,0.047850
1786466218.191235065,1.350050,0.000000,0,2.233836,-18.545000,6.494900,3.507060,0.130000,0.056357
1786466218.241121054,1.399936,0.000000,0,2.154227,-18.545000,6.494900,3.507060,0.130000,0.056357
1786466218.291029453,1.449845,0.000000,0,2.232339,-18.375200,6.636000,3.184912,0.130000,0.070977
1786466218.341284752,1.500100,0.000000,0,2.306951,-18.204900,6.781700,3.024673,0.130000,0.070977
1786466218.391036510,1.549852,0.000000,0,2.232911,-18.204900,6.781700,3.024673,0.130000,0.074851
1786466218.441103458,1.599919,0.000000,0,2.309173,-18.030100,6.937000,3.346519,0.130000,0.074851
1786466218.491017103,1.649832,0.000000,0,2.381028,-17.858700,7.096000,3.254500,0.130000,0.076481
1786466218.541283607,1.700099,0.000000,0,2.446242,-17.693300,7.256600,3.326118,0.130000,0.076481
1786466218.591057062,1.749872,0.000000,0,2.376645,-17.693300,7.256600,3.326118,0.130000,0.074275
1786466218.641040564,1.799856,0.000000,0,2.436921,-17.533900,7.418600,3.200864,0.130000,0.074275
1786466218.691039562,1.849855,0.000000,0,2.492171,-17.380500,7.581900,3.327247,0.130000,0.071489
1786466218.741294622,1.900110,0.000000,0,2.426252,-17.380500,7.581900,3.327247,0.130000,0.071489
1786466218.791088820,1.949904,0.000000,0,2.479196,-17.230900,7.748700,3.175536,0.130000,0.061567
1786466218.840997219,1.999813,0.000000,0,2.532584,-17.080800,7.923600,3.364239,0.130000,0.061567
1786466218.891213894,2.050029,0.000000,0,2.579844,-16.938400,8.096700,3.259754,0.130000,0.057102
1786466218.941102982,2.099918,0.000000,0,2.518591,-16.938400,8.096700,3.259754,0.130000,0.057102
1786466218.991005659,2.149821,0.000000,0,2.562814,-16.801400,8.269800,3.036424,0.130000,0.052196
1786466219.041039228,2.199855,0.000000,0,2.609347,-16.661600,8.453200,3.316666,0.130000,0.052196
1786466219.091091394,2.249907,0.000000,0,2.551302,-16.661600,8.453200,3.316666,0.130000,0.042667
1786466219.141036510,2.299852,0.000000,0,2.596168,-16.525000,8.639000,3.042070,0.130000,0.042667
1786466219.191005945,2.349821,0.000000,0,2.648773,-16.378400,8.845600,3.535255,0.130000,0.037483
1786466219.241132498,2.399948,0.000000,0,2.593443,-16.378400,8.845600,3.535255,0.130000,0.037483
1786466219.291096210,2.449912,0.000000,0,2.631995,-16.251600,9.030300,3.067762,0.130000,0.027590
1786466219.341544390,2.500360,0.000000,0,2.673712,-16.120000,9.227500,3.358170,0.130000,0.027590
1786466219.391049623,2.549865,0.000000,0,2.621805,-16.120000,9.227500,3.358170,0.130000,0.023558
1786466219.441145658,2.599961,0.000000,0,2.657496,-15.997600,9.415300,3.085002,0.130000,0.023558
