time_sec,elapsed_sec,confidence,visible,avg_speed_mps,ips_x_m,ips_y_m,speed_mps,throttle_command,steering_command
1786996097.009738922,0.000000,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786996097.060406208,0.050667,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786996097.109156132,0.099417,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786996097.161436558,0.151698,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786996097.209129810,0.199391,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786996097.259436607,0.249698,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786996097.309452295,0.299713,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.130000,0.000000
1786996097.359599829,0.349861,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.130000,0.000000
1786996097.409164190,0.399425,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.130000,0.000000
1786996097.459308386,0.449569,0.000000,0,0.043886,-20.857500,4.590100,0.270957,0.130000,0.000000
1786996097.509141922,0.499403,0.000000,0,0.039507,-20.857500,4.590100,0.270957,0.130000,-0.001245
1786996097.562496424,0.552758,0.000000,0,0.152541,-20.808000,4.631600,0.768628,0.130000,-0.001245
1786996097.609618425,0.599880,0.000000,0,0.140554,-20.808000,4.631600,0.768628,0.130000,-0.000502
1786996097.659164429,0.649426,0.000000,0,0.321212,-20.712800,4.711500,1.381801,0.130000,-0.000502
1786996097.709558725,0.699820,0.000000,0,0.577358,-20.563100,4.837200,2.238141,0.130000,-0.000788
1786996097.761467695,0.751729,0.000000,0,0.537523,-20.563100,4.837200,2.238141,0.130000,-0.000788
1786996097.810316801,0.800578,0.000000,0,0.803163,-20.380000,4.990700,2.892677,0.130000,-0.000637
1786996097.859143972,0.849405,0.000000,0,0.756999,-20.380000,4.990700,2.892677,0.130000,-0.000637
1786996097.909138918,0.899400,0.000000,0,1.013243,-20.174400,5.163100,3.161101,0.130000,-0.016879
1786996097.959227085,0.949488,0.000000,0,1.246738,-19.965500,5.338000,3.099670,0.130000,-0.016879
1786996098.009139061,0.999400,0.000000,0,1.184465,-19.965500,5.338000,3.099670,0.130000,-0.017073
1786996098.059154510,1.049416,0.000000,0,1.397165,-19.748900,5.519300,3.204307,0.130000,-0.017073
1786996098.109173298,1.099434,0.000000,0,1.333601,-19.748900,5.519300,3.204307,0.130000,-0.009629
1786996098.161974192,1.152235,0.000000,0,1.529089,-19.521700,5.708500,3.547155,0.130000,-0.009629
1786996098.209136963,1.199398,0.000000,0,1.468967,-19.521700,5.708500,3.547155,0.130000,0.002959
1786996098.259130239,1.249391,0.000000,0,1.623361,-19.316000,5.877700,3.252711,0.130000,0.002959
1786996098.309440374,1.299701,0.000000,0,1.560476,-19.316000,5.877700,3.252711,0.130000,0.016944
1786996098.359588385,1.349849,0.000000,0,1.502528,-19.316000,5.877700,3.252711,0.130000,0.016944
1786996098.410463810,1.400725,0.000000,0,1.635760,-19.112000,6.043800,1.453808,0.130000,0.016944
1786996098.462466002,1.452727,0.000000,0,1.769570,-18.894900,6.219700,5.971137,0.130000,0.016944
1786996098.509154558,1.499416,0.000000,0,1.714462,-18.894900,6.219700,5.971137,0.130000,0.044066
1786996098.559101820,1.549363,0.853704,1,1.868795,-18.642800,6.424400,3.490808,0.130000,0.044066
1786996098.609522104,1.599783,0.853704,1,1.809842,-18.642800,6.424400,3.490808,0.130000,0.061499
1786996098.659733057,1.649994,0.853704,1,1.754763,-18.642800,6.424400,3.490808,0.130000,0.061499
1786996098.715394020,1.705655,0.853704,1,1.887960,-18.391400,6.630100,2.171146,0.130000,0.073089
1786996098.759154081,1.749415,0.877654,1,1.840768,-18.391400,6.630100,2.171146,0.130000,0.073089
