time_sec,elapsed_sec,confidence,visible,avg_speed_mps,ips_x_m,ips_y_m,speed_mps,throttle_command,steering_command
1786469583.269522190,0.000000,0.000000,0,0.000000,-20.872600,4.577500,0.000000,0.000000,0.000000
1786469583.319565773,0.050044,0.000000,0,0.000000,-20.872600,4.577500,0.000000,0.130000,0.000000
1786469583.369618177,0.100096,0.000000,0,0.000000,-20.872600,4.577500,0.000000,0.130000,0.000000
1786469583.419512987,0.149991,0.000000,0,0.121113,-20.858700,4.589200,0.756789,0.130000,0.000000
1786469583.469890833,0.200369,0.000000,0,0.090636,-20.858700,4.589200,0.756789,0.130000,0.000000
1786469583.519560814,0.250039,0.000000,0,0.072654,-20.858700,4.589200,0.756789,0.130000,-0.001445
1786469583.569558620,0.300036,0.000000,0,0.060549,-20.858700,4.589200,0.756789,0.130000,-0.001445
1786469583.619549990,0.350028,0.000000,0,0.202963,-20.818200,4.623200,0.344128,0.130000,-0.000834
1786469583.669647694,0.400126,0.000000,0,0.177550,-20.818200,4.623200,0.344128,0.130000,-0.000834
1786469583.719728470,0.450206,0.000000,0,0.800656,-20.596500,4.809300,4.474480,0.130000,-0.000914
1786469583.769539595,0.500017,0.000000,0,0.720938,-20.596500,4.809300,4.474480,0.130000,-0.000914
1786469583.819512606,0.549990,0.000000,0,1.107516,-20.406000,4.969100,2.491481,0.130000,-0.000831
1786469583.869663239,0.600141,0.000000,0,1.014947,-20.406000,4.969100,2.491481,0.130000,-0.000831
1786469583.919498682,0.649976,0.000000,0,1.297769,-20.226300,5.119600,2.999862,0.130000,-0.013415
1786469583.969516039,0.699994,0.931107,1,1.547276,-20.042700,5.273500,3.455599,0.130000,-0.013415
1786469584.019724607,0.750202,0.931107,1,1.443720,-20.042700,5.273500,3.455599,0.130000,-0.017729
1786469584.069624901,0.800103,0.956650,1,1.637762,-19.868200,5.419200,3.138326,0.130000,-0.017729
1786469584.119516134,0.849994,0.982068,1,1.820555,-19.685700,5.570500,3.247997,0.130000,-0.013694
1786469584.169536352,0.900014,0.983745,1,1.979251,-19.505000,5.719000,8.838862,0.130000,-0.013694
1786469584.219530344,0.950008,0.983745,1,1.875074,-19.505000,5.719000,8.838862,0.130000,0.006583
1786469584.269512415,0.999990,0.982431,1,2.002239,-19.333600,5.858300,1.941310,0.130000,0.006583
1786469584.319736242,1.050214,0.982431,1,1.906446,-19.333600,5.858300,1.941310,0.130000,0.015101
1786469584.369532108,1.100010,0.981937,1,2.257269,-18.958900,6.159600,8.709125,0.130000,0.015101
1786469584.419528246,1.150006,0.983634,1,2.159147,-18.958900,6.159600,8.709125,0.130000,0.040288
1786469584.469715118,1.200193,0.983634,1,2.068861,-18.958900,6.159600,8.709125,0.130000,0.040288
1786469584.519748449,1.250226,0.982435,1,2.222371,-18.728900,6.345200,2.660488,0.130000,0.056034
1786469584.569510937,1.299989,0.982729,1,2.324741,-18.540200,6.499200,3.428364,0.130000,0.056034
1786469584.619875193,1.350353,0.982729,1,2.237948,-18.540200,6.499200,3.428364,0.130000,0.064507
1786469584.669650555,1.400128,0.982836,1,2.323146,-18.362700,6.646400,3.120236,0.130000,0.064507
1786469584.719520330,1.449998,0.982878,1,2.406815,-18.182700,6.800800,3.176923,0.130000,0.071886
1786469584.770046949,1.500525,0.984237,1,2.479239,-18.010500,6.954000,8.387096,0.130000,0.071886
1786469584.819658518,1.550136,0.984237,1,2.399997,-18.010500,6.954000,8.387096,0.130000,0.076965
1786469584.869533539,1.600011,0.984237,1,2.325211,-18.010500,6.954000,8.387096,0.130000,0.076965
1786469584.919520140,1.649998,0.981520,1,2.396497,-17.839100,7.113100,1.496603,0.130000,0.076858
