time_sec,elapsed_sec,confidence,visible,avg_speed_mps,ips_x_m,ips_y_m,speed_mps,throttle_command,steering_command
1784573298.168045282,0.000000,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1784573298.217869282,0.049824,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1784573298.267887831,0.099843,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1784573298.318068266,0.150023,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.130000,0.000000
1784573298.367861509,0.199816,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.130000,0.000000
1784573298.417916059,0.249871,0.000000,0,0.068449,-20.859500,4.588400,0.630157,0.130000,0.000000
1784573298.467886209,0.299841,0.000000,0,0.057044,-20.859500,4.588400,0.630157,0.130000,0.000000
1784573298.517944098,0.349899,0.000000,0,0.165310,-20.828300,4.614600,0.442145,0.130000,-0.000858
1784573298.567919493,0.399874,0.000000,0,0.144653,-20.828300,4.614600,0.442145,0.130000,-0.000858
1784573298.617965460,0.449920,0.000000,0,0.300665,-20.769000,4.664400,1.185696,0.130000,-0.000921
1784573298.667985916,0.499941,0.000000,0,0.793231,-20.568800,4.832400,6.243460,0.130000,-0.000921
1784573298.717887878,0.549843,0.000000,0,0.721326,-20.568800,4.832400,6.243460,0.130000,-0.000926
1784573298.767968655,0.599923,0.000000,0,0.944972,-20.438300,4.941800,1.631010,0.130000,-0.000926
1784573298.817920923,0.649876,0.000000,0,1.184131,-20.283000,5.072000,7.844296,0.130000,-0.000608
1784573298.867918491,0.699873,0.000000,0,1.099520,-20.283000,5.072000,7.844296,0.130000,-0.000608
1784573298.917861938,0.749817,0.000000,0,1.288750,-20.132100,5.198300,1.934373,0.130000,-0.007997
1784573298.967839718,0.799794,0.000000,0,1.471918,-19.970400,5.333700,3.189244,0.130000,-0.007997
1784573299.017886162,0.849841,0.000000,0,1.641261,-19.803500,5.473300,9.364076,0.130000,-0.012072
1784573299.067844391,0.899799,0.000000,0,1.550144,-19.803500,5.473300,9.364076,0.130000,-0.012072
1784573299.117934227,0.949889,0.000000,0,1.888963,-19.496100,5.728500,6.529893,0.130000,-0.004960
1784573299.168154240,1.000109,0.000000,0,1.794121,-19.496100,5.728500,6.529893,0.130000,-0.004960
1784573299.218042850,1.049998,0.000000,0,1.708831,-19.496100,5.728500,6.529893,0.130000,0.004391
1784573299.267904043,1.099859,0.000000,0,1.841155,-19.318000,5.875100,1.897785,0.130000,0.004391
1784573299.318103552,1.150058,0.000000,0,1.760730,-19.318000,5.875100,1.897785,0.130000,0.016893
1784573299.367885590,1.199840,0.000000,0,2.131703,-18.906100,6.212900,11.876491,0.130000,0.016893
1784573299.417970896,1.249926,0.000000,0,2.046258,-18.906100,6.212900,11.876491,0.130000,0.041008
