logger_timestamp_nanoseconds,x_m,y_m,velocity_mps,acceleration_mps2,steering_command,throttle_command,steering_feedback,throttle_feedback
1787009907810979059,-20.872650,4.577530,0.000014,0.011692,0.000000,0.000000,0.000000,0.000000
1787009907857603070,-20.872650,4.577530,0.000014,0.011692,0.000000,0.000000,0.000000,0.000000
1787009907907851456,-20.872650,4.577529,0.000010,0.006010,0.352756,0.065000,0.000000,0.000000
1787009907957553393,-20.872650,4.577529,0.000010,0.006010,0.352756,0.065000,0.000000,0.000000
1787009908007788741,-20.872650,4.577529,0.000010,0.026073,-0.000000,0.100000,0.000000,0.000000
1787009908057655888,-20.872650,4.577529,0.000010,0.027106,-0.000000,0.100000,0.000000,0.000000
1787009908107577745,-20.860370,4.587796,0.507593,7.942472,-0.000000,0.100000,0.184800,0.065000
1787009908157592504,-20.860370,4.587796,0.507593,7.942472,-0.000000,0.100000,0.184800,0.065000
1787009908207583031,-20.822680,4.620005,1.022773,7.847394,-0.005110,0.100000,0.000000,0.100000
1787009908257764955,-20.664300,4.755161,2.062248,7.575766,-0.005110,0.100000,0.000000,0.100000
1787009908307708853,-20.664300,4.755161,2.062248,7.575766,-0.005109,0.100000,0.000000,0.100000
1787009908358241210,-20.551000,4.851789,2.441488,2.114457,-0.005109,0.100000,-0.002600,0.100000
1787009908407747865,-20.551000,4.851789,2.441488,2.114457,-0.005231,0.100000,-0.002600,0.100000
1787009908457891088,-20.424600,4.959357,2.495495,0.243411,-0.005231,0.100000,-0.002600,0.100000
1787009908507483698,-20.283590,5.079088,2.502028,0.030280,-0.005016,0.100000,-0.002600,0.100000
1787009908557563728,-20.283590,5.079088,2.502028,0.030280,-0.005016,0.100000,-0.002600,0.100000
1787009908607644547,-20.029510,5.294073,2.502682,0.014981,-0.021186,0.100000,-0.002600,0.100000
1787009908657823531,-19.908970,5.395719,2.502670,0.010551,-0.021186,0.100000,-0.002600,0.100000
1787009908707720359,-19.908970,5.395719,2.502670,0.010551,-0.019305,0.100000,-0.002600,0.100000
1787009908757568417,-19.908970,5.395719,2.502670,0.010551,-0.019305,0.100000,-0.002600,0.100000
1787009908807654666,-19.786420,5.498847,2.502641,0.013392,-0.015298,0.100000,-0.002600,0.100000
