time_sec,odom_to_base_x,odom_to_base_y,odom_to_base_yaw_deg,map_to_odom_x,map_to_odom_y,map_to_odom_yaw_deg,ips_x,ips_y,ips_z,distance_to_start_m,total_distance_m,near_start,left_start_zone,lap_candidate
1783970827.414397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-20.872630,4.577516,0.059104,0.000000,0.000000,1,0,0
1783970827.464755,-0.000001,-0.000001,0.000402,0.000000,0.000000,0.000000,-20.872630,4.577515,0.059104,0.000001,0.000001,1,0,0
1783970827.514468,-0.000001,-0.000001,0.000402,0.000000,0.000000,0.000000,-20.872630,4.577515,0.059104,0.000001,0.000001,1,0,0
1783970827.564615,-0.000001,-0.000001,0.000402,0.000000,0.000000,0.000000,-20.872630,4.577515,0.059104,0.000001,0.000001,1,0,0
1783970827.614325,0.000595,-0.000006,0.000384,0.000000,0.000000,0.000000,-20.872170,4.577894,0.059045,0.000595,0.000597,1,0,0
1783970827.664564,0.000595,-0.000006,0.000384,0.000000,0.000000,0.000000,-20.872170,4.577894,0.059045,0.000595,0.000597,1,0,0
1783970827.714510,0.063799,-0.000003,0.000426,0.000000,0.000000,0.000000,-20.823760,4.618529,0.058398,0.063799,0.063801,1,0,0
1783970827.764833,0.063799,-0.000003,0.000426,0.000000,0.000000,0.000000,-20.823760,4.618529,0.058398,0.063799,0.063801,1,0,0
1783970827.814843,0.174034,0.000815,2.120995,0.000000,0.000000,0.000000,-20.739850,4.690023,0.057971,0.174035,0.174038,1,0,0
1783970827.864519,0.174034,0.000815,2.120995,0.000000,0.000000,0.000000,-20.739850,4.690023,0.057971,0.174035,0.174038,1,0,0
1783970827.915037,0.389268,0.012237,3.254525,0.000000,0.000000,0.000000,-20.582330,4.837141,0.057468,0.389460,0.389575,1,0,0
1783970827.964625,0.389268,0.012237,3.254525,0.000000,-0.000000,0.000000,-20.582330,4.837141,0.057468,0.389460,0.389575,1,0,0
1783970828.014706,0.734227,0.031879,3.243810,0.000000,-0.000000,0.000000,-20.330730,5.073953,0.057051,0.734919,0.735093,1,0,0
1783970828.064698,0.734227,0.031879,3.243810,0.000000,-0.000000,0.000000,-20.330730,5.073953,0.057051,0.734919,0.735093,1,0,0
1783970828.114427,1.075910,0.051024,3.152234,0.000000,-0.000000,0.000000,-20.081320,5.308279,0.057140,1.077119,1.077312,1,0,0
1783970828.164390,1.075910,0.051024,3.152234,-0.000000,-0.000000,0.000000,-20.081320,5.308279,0.057140,1.077119,1.077312,1,0,0
1783970828.214371,1.370991,0.066194,2.615098,-0.000000,-0.000000,0.000000,-19.865050,5.509600,0.057244,1.372588,1.372783,1,0,0
1783970828.264605,1.370991,0.066194,2.615098,-0.000000,-0.000000,0.000000,-19.865050,5.509600,0.057244,1.372588,1.372783,1,0,0
1783970828.314348,1.702035,0.079150,1.756897,-0.000000,-0.000000,0.000000,-19.619810,5.732345,0.057353,1.703874,1.704080,0,1,0
1783970828.364477,1.702035,0.079150,1.756897,0.000000,0.000000,-0.000000,-19.619810,5.732345,0.057353,1.703874,1.704080,0,1,0
1783970828.414351,2.016983,0.085932,0.524668,0.000000,0.000000,-0.000000,-19.382930,5.940013,0.057448,2.018813,2.019101,0,1,0
1783970828.464358,2.016983,0.085932,0.524668,0.000000,0.000000,-0.000000,-19.382930,5.940013,0.057448,2.018813,2.019101,0,1,0
1783970828.514347,2.344994,0.085490,-0.830682,0.000000,0.000000,-0.000000,-19.131400,6.150546,0.057538,2.346552,2.347113,0,1,0
1783970828.564585,2.344994,0.085490,-0.830682,-0.000000,0.000000,-0.000000,-19.131400,6.150546,0.057538,2.346552,2.347113,0,1,0
1783970828.614369,2.679447,0.077916,-1.835311,-0.000000,0.000000,-0.000000,-18.870350,6.359757,0.057620,2.680580,2.681652,0,1,0
1783970828.664572,2.679447,0.077916,-1.835311,-0.000000,0.000000,-0.000000,-18.870350,6.359757,0.057620,2.680580,2.681652,0,1,0
1783970828.714332,2.971598,0.067288,-2.359409,-0.000000,0.000000,-0.000000,-18.639740,6.539434,0.057686,2.972359,2.973995,0,1,0
1783970828.764563,2.971598,0.067288,-2.359409,0.000000,-0.000000,0.000000,-18.639740,6.539434,0.057686,2.972359,2.973995,0,1,0
1783970828.814355,3.296073,0.052616,-2.876532,0.000000,-0.000000,0.000000,-18.381770,6.736794,0.057753,3.296493,3.298802,0,1,0
1783970828.864677,3.296073,0.052616,-2.876532,0.000000,-0.000000,0.000000,-18.381770,6.736794,0.057753,3.296493,3.298802,0,1,0
1783970828.914353,3.597797,0.038229,-2.387444,0.000000,-0.000000,0.000000,-18.141410,6.919746,0.057809,3.598000,3.600869,0,1,0
1783970828.964690,3.597797,0.038229,-2.387444,0.000000,-0.000000,0.000000,-18.141410,6.919746,0.057809,3.598000,3.600869,0,1,0
1783970829.014423,3.909383,0.028110,-1.124448,0.000000,-0.000000,0.000000,-17.896240,7.112307,0.057863,3.909484,3.912619,0,1,0
1783970829.066151,3.909383,0.028110,-1.124448,0.000000,-0.000000,0.000000,-17.896240,7.112307,0.057863,3.909484,3.912619,0,1,0
1783970829.114397,4.253547,0.026491,0.841883,0.000000,-0.000000,0.000000,-17.631580,7.332323,0.057918,4.253630,4.256787,0,1,0
1783970829.164503,4.253547,0.026491,0.841883,-0.000000,-0.000000,0.000000,-17.631580,7.332323,0.057918,4.253630,4.256787,0,1,0
1783970829.214319,4.574703,0.036998,3.218830,-0.000000,-0.000000,0.000000,-17.392340,7.546835,0.057965,4.574852,4.578115,0,1,0
