cell_x,cell_y,world_x_m,world_y_m,hits
363,0,-1.258053,1.939769,100
364,0,-1.219755,1.971913,100
365,0,-1.181456,2.004057,100
366,0,-1.143158,2.036201,100
367,0,-1.104860,2.068345,100
368,0,-1.066561,2.100489,100
369,0,-1.028263,2.132633,100
370,0,-0.989965,2.164777,100
371,0,-0.951666,2.196921,100
372,0,-0.913368,2.229065,100
373,0,-0.875069,2.261209,100
374,0,-0.836771,2.293352,100
375,0,-0.798473,2.325496,100
376,0,-0.760174,2.357640,100
377,0,-0.721876,2.389784,100
357,1,-1.519988,1.785204,100
358,1,-1.481689,1.817348,100
359,1,-1.443391,1.849492,100
360,1,-1.405092,1.881636,100
361,1,-1.366794,1.913780,100
362,1,-1.328496,1.945924,100
363,1,-1.290197,1.978068,100
364,1,-1.251899,2.010211,100
365,1,-1.213600,2.042355,100
366,1,-1.175302,2.074499,100
367,1,-1.137004,2.106643,100
368,1,-1.098705,2.138787,100
369,1,-1.060407,2.170931,100
370,1,-1.022108,2.203075,100
371,1,-0.983810,2.235219,100
372,1,-0.945512,2.267363,100
373,1,-0.907213,2.299507,100
374,1,-0.868915,2.331651,100
375,1,-0.830616,2.363795,100
377,1,-0.754020,2.428083,100
378,1,-0.715721,2.460227,100
379,1,-0.677423,2.492371,100
380,1,-0.639125,2.524515,100
381,1,-0.600826,2.556658,100
382,1,-0.562528,2.588802,100
383,1,-0.524229,2.620946,100
353,2,-1.705325,1.694926,100
354,2,-1.667027,1.727070,100
355,2,-1.628728,1.759214,100
356,2,-1.590430,1.791358,100
357,2,-1.552132,1.823502,100
358,2,-1.513833,1.855646,100
359,2,-1.475535,1.887790,100
360,2,-1.437236,1.919934,100
361,2,-1.398938,1.952078,100
362,2,-1.360640,1.984222,100
363,2,-1.322341,2.016366,100
364,2,-1.284043,2.048510,100
365,2,-1.245744,2.080654,100
366,2,-1.207446,2.112798,100
367,2,-1.169148,2.144942,100
368,2,-1.130849,2.177086,100
369,2,-1.092551,2.209230,100
370,2,-1.054252,2.241374,100
371,2,-1.015954,2.273517,100
372,2,-0.977656,2.305661,100
373,2,-0.939357,2.337805,100
374,2,-0.901059,2.369949,100
375,2,-0.862760,2.402093,100
376,2,-0.824462,2.434237,100
377,2,-0.786164,2.466381,100
378,2,-0.747865,2.498525,100
379,2,-0.709567,2.530669,100
380,2,-0.671268,2.562813,100
381,2,-0.632970,2.594957,100
382,2,-0.594672,2.627101,100
384,2,-0.518075,2.691389,100
385,2,-0.479777,2.723533,100
386,2,-0.441478,2.755677,100
387,2,-0.403180,2.787821,100
350,3,-1.852364,1.636793,100
351,3,-1.814066,1.668937,100
352,3,-1.775767,1.701081,100
353,3,-1.737469,1.733225,100
354,3,-1.699171,1.765369,100
355,3,-1.660872,1.797513,100
356,3,-1.622574,1.829657,100
357,3,-1.584275,1.861801,100
358,3,-1.545977,1.893945,100
359,3,-1.507679,1.926089,100
360,3,-1.469380,1.958232,100
361,3,-1.431082,1.990376,100
362,3,-1.392783,2.022520,100
363,3,-1.354485,2.054664,100
364,3,-1.316187,2.086808,100
365,3,-1.277888,2.118952,100
366,3,-1.239590,2.151096,100
367,3,-1.201292,2.183240,100
368,3,-1.162993,2.215384,100
369,3,-1.124695,2.247528,100
370,3,-1.086396,2.279672,100
371,3,-1.048098,2.311816,100
372,3,-1.009800,2.343960,100
373,3,-0.971501,2.376104,100
374,3,-0.933203,2.408248,100
375,3,-0.894904,2.440392,100
376,3,-0.856606,2.472536,100
377,3,-0.818308,2.504680,100
378,3,-0.780009,2.536823,100
379,3,-0.741711,2.568967,100
380,3,-0.703412,2.601111,100
381,3,-0.665114,2.633255,100
382,3,-0.626816,2.665399,100
383,3,-0.588517,2.697543,100
384,3,-0.550219,2.729687,100
385,3,-0.511920,2.761831,100
387,3,-0.435324,2.826119,100
388,3,-0.397025,2.858263,100
389,3,-0.358727,2.890407,100
347,4,-1.999403,1.578660,100
348,4,-1.961105,1.610804,100
349,4,-1.922807,1.642947,100
350,4,-1.884508,1.675091,100
351,4,-1.846210,1.707235,100
352,4,-1.807911,1.739379,100
353,4,-1.769613,1.771523,100
354,4,-1.731315,1.803667,100
355,4,-1.693016,1.835811,100
356,4,-1.654718,1.867955,100
357,4,-1.616419,1.900099,100
