cell_x,cell_y,world_x_m,world_y_m,hits
363,0,13.189250,-14.561632,100
364,0,13.239250,-14.561632,100
365,0,13.289250,-14.561632,100
366,0,13.339250,-14.561632,100
367,0,13.389250,-14.561632,100
368,0,13.439250,-14.561632,100
369,0,13.489250,-14.561632,100
370,0,13.539250,-14.561632,100
371,0,13.589250,-14.561632,100
372,0,13.639250,-14.561632,100
373,0,13.689250,-14.561632,100
374,0,13.739250,-14.561632,100
375,0,13.789250,-14.561632,100
376,0,13.839250,-14.561632,100
377,0,13.889250,-14.561632,100
357,1,12.889250,-14.511632,100
358,1,12.939250,-14.511632,100
359,1,12.989250,-14.511632,100
360,1,13.039250,-14.511632,100
361,1,13.089250,-14.511632,100
362,1,13.139250,-14.511632,100
375,1,13.789250,-14.511632,100
377,1,13.889250,-14.511632,100
378,1,13.939250,-14.511632,100
379,1,13.989250,-14.511632,100
380,1,14.039250,-14.511632,100
381,1,14.089250,-14.511632,100
382,1,14.139250,-14.511632,100
383,1,14.189250,-14.511632,100
353,2,12.689250,-14.461632,100
354,2,12.739250,-14.461632,100
355,2,12.789250,-14.461632,100
356,2,12.839250,-14.461632,100
376,2,13.839250,-14.461632,100
382,2,14.139250,-14.461632,100
384,2,14.239250,-14.461632,100
385,2,14.289250,-14.461632,100
386,2,14.339250,-14.461632,100
387,2,14.389250,-14.461632,100
350,3,12.539250,-14.411632,100
351,3,12.589250,-14.411632,100
352,3,12.639250,-14.411632,100
364,3,13.239250,-14.411632,100
365,3,13.289250,-14.411632,100
366,3,13.339250,-14.411632,100
367,3,13.389250,-14.411632,100
368,3,13.439250,-14.411632,100
369,3,13.489250,-14.411632,100
370,3,13.539250,-14.411632,100
371,3,13.589250,-14.411632,100
372,3,13.639250,-14.411632,100
373,3,13.689250,-14.411632,100
374,3,13.739250,-14.411632,100
375,3,13.789250,-14.411632,100
383,3,14.189250,-14.411632,100
385,3,14.289250,-14.411632,100
387,3,14.389250,-14.411632,100
388,3,14.439250,-14.411632,100
389,3,14.489250,-14.411632,100
347,4,12.389250,-14.361632,100
348,4,12.439250,-14.361632,100
349,4,12.489250,-14.361632,100
357,4,12.889250,-14.361632,100
358,4,12.939250,-14.361632,100
359,4,12.989250,-14.361632,100
360,4,13.039250,-14.361632,100
361,4,13.089250,-14.361632,100
362,4,13.139250,-14.361632,100
363,4,13.189250,-14.361632,100
376,4,13.839250,-14.361632,100
377,4,13.889250,-14.361632,100
378,4,13.939250,-14.361632,100
379,4,13.989250,-14.361632,100
380,4,14.039250,-14.361632,100
381,4,14.089250,-14.361632,100
386,4,14.339250,-14.361632,100
389,4,14.489250,-14.361632,100
345,5,12.289250,-14.311632,100
346,5,12.339250,-14.311632,100
354,5,12.739250,-14.311632,100
355,5,12.789250,-14.311632,100
356,5,12.839250,-14.311632,100
382,5,14.139250,-14.311632,100
383,5,14.189250,-14.311632,100
384,5,14.239250,-14.311632,100
385,5,14.289250,-14.311632,100
386,5,14.339250,-14.311632,100
390,5,14.539250,-14.311632,100
343,6,12.189250,-14.261632,100
344,6,12.239250,-14.261632,100
350,6,12.539250,-14.261632,100
351,6,12.589250,-14.261632,100
352,6,12.639250,-14.261632,100
353,6,12.689250,-14.261632,100
387,6,14.389250,-14.261632,100
388,6,14.439250,-14.261632,100
391,6,14.589250,-14.261632,100
392,6,14.639250,-14.261632,100
393,6,14.689250,-14.261632,100
341,7,12.089250,-14.211632,100
342,7,12.139250,-14.211632,100
348,7,12.439250,-14.211632,100
349,7,12.489250,-14.211632,100
389,7,14.489250,-14.211632,100
