cell_x,cell_y,world_x_m,world_y_m,hits
236,505,-22.354641,17.198177,100
156,396,-21.914823,10.452137,100
351,492,-17.532454,20.396851,100
297,521,-20.532742,19.771732,100
397,459,-14.709978,20.611626,100
218,191,-12.950814,4.593890,100
387,149,-5.128339,8.417684,100
120,330,-21.172064,6.767261,100
67,324,-23.009016,4.833841,100
495,356,-7.645909,19.816998,100
496,321,-6.482573,18.508698,100
441,385,-10.646197,19.191878,100
158,442,-23.316847,12.278151,100
293,221,-11.042752,8.153638,100
374,66,-2.958271,4.821046,100
229,502,-22.526298,16.858274,100
264,343,-16.074967,11.893868,100
431,191,-4.793256,11.440550,100
162,332,-19.627820,8.193903,100
392,120,-4.004673,7.467751,100
239,515,-22.561185,17.677593,100
395,125,-4.050498,7.755675,100
375,67,-2.952117,4.891489,100
441,241,-6.017469,13.676910,100
367,63,-3.129928,4.481144,100
446,356,-9.522531,18.241945,100
169,456,-23.345580,13.167911,100
323,514,-19.311976,20.339386,100
432,192,-4.787101,11.510993,100
215,194,-13.162141,4.612354,100
444,166,-3.491778,10.900962,100
172,461,-23.391405,13.455835,100
207,339,-18.129400,9.908469,100
205,495,-23.220452,15.818731,100
232,512,-22.732842,17.337690,100
224,508,-22.910653,16.927345,100
347,499,-17.910656,20.536364,100
105,328,-21.682252,6.208505,100
463,265,-5.946359,15.303238,100
355,174,-7.157487,8.346538,100
400,96,-2.926831,6.805741,100
479,389,-9.319434,20.566542,100
149,334,-20.189987,7.852629,100
278,219,-11.552940,7.594882,100
436,427,-12.187735,20.639691,100
194,485,-23.320295,15.082163,100
155,414,-22.531712,11.109364,100
302,347,-14.748204,13.268531,100
173,462,-23.385250,13.526278,100
284,150,-9.105218,5.145157,100
395,246,-7.939915,12.389780,100
430,204,-5.249425,11.906286,100
225,509,-22.904499,16.997787,100
439,173,-3.908278,11.008331,100
159,384,-21.414200,10.088988,100
253,162,-10.678195,4.608275,100
414,116,-3.033533,8.021724,100
142,331,-20.361644,7.512726,100
195,486,-23.314140,15.152606,100
391,132,-4.428699,7.895187,100
396,247,-7.933760,12.460222,100
288,156,-9.144888,5.503523,100
356,174,-7.119188,8.378682,100
408,450,-13.999400,20.620524,100
221,215,-13.607373,5.609484,100
445,368,-9.946556,18.669381,100
446,333,-8.783220,17.361081,100
237,339,-16.980448,10.872788,100
311,517,-19.867989,20.068553,100
195,342,-18.685412,9.637637,100
113,389,-23.336646,8.801858,100
316,223,-10.226177,8.969545,100
267,218,-11.942079,7.203000,100
179,334,-19.041035,8.816947,100
436,139,-2.930279,9.609754,100
481,290,-6.060587,16.839289,100
338,507,-18.512493,20.553456,100
374,164,-6.108378,8.574289,100
428,135,-3.108090,9.199409,100
358,485,-17.039358,20.353770,100
335,501,-18.434524,20.227234,100
307,519,-20.085470,20.016574,100
437,140,-2.924124,9.680196,100
85,326,-22.383932,5.489029,100
482,291,-6.054432,16.909731,100
191,344,-18.902894,9.585658,100
114,389,-23.298347,8.834002,100
344,177,-7.675201,8.107850,100
275,343,-15.653685,12.247451,100
390,144,-4.852725,8.322624,100
435,295,-7.983032,15.552159,100
430,217,-5.667297,12.404165,100
451,160,-3.030826,10.896179,100
354,227,-8.899414,10.344209,100
305,222,-10.615316,8.577664,100
217,338,-17.714272,10.191610,100
210,213,-13.964368,5.179303,100
168,445,-23.030295,12.714485,100
392,110,-3.683234,7.084767,100
443,421,-11.726782,20.634908,100
239,505,-22.239746,17.294609,100
312,346,-14.333076,13.551672,100
447,162,-3.248307,10.844200,100
284,513,-20.773470,19.047473,100
446,346,-9.201091,17.858961,100
432,411,-11.826625,19.898341,100
150,433,-23.333939,11.676313,100
377,475,-15.990249,20.581521,100
169,446,-23.024141,12.784927,100
442,312,-8.261391,16.428239,100
172,451,-23.069965,13.072851,100
232,502,-22.411403,16.954706,100
205,485,-22.899012,15.435747,100
393,456,-14.766740,20.368155,100
224,498,-22.589214,16.544361,100
194,210,-14.480710,4.550105,100
369,62,-3.021187,4.507133,100
434,228,-5.867687,12.954023,100
164,367,-20.676261,9.598635,100
386,151,-5.230926,8.462137,100
324,176,-8.409025,7.426673,100
194,475,-22.998855,14.699179,100
155,404,-22.210272,10.726380,100
255,342,-16.387509,11.566274,100
160,333,-19.736560,8.167914,100
154,439,-23.373609,12.034680,100
349,498,-17.801915,20.562354,100
430,194,-4.927986,11.523302,100
285,513,-20.735171,19.079617,100
445,322,-8.467935,16.907655,100
325,177,-8.402870,7.497115,100
195,476,-22.992701,14.769622,100
392,87,-2.943923,6.203904,100
179,468,-23.348323,13.948932,100
384,83,-3.121734,5.793559,100
448,247,-5.942244,14.131708,100
233,179,-11.990610,4.616469,100
69,336,-23.318146,5.357710,100
373,73,-3.221577,5.056991,100
201,492,-23.277213,15.575260,100
390,242,-8.002831,12.075867,100
256,162,-10.563300,4.704707,100
417,116,-2.918638,8.118156,100
396,93,-2.983593,6.562270,100
198,337,-18.409797,9.542577,100
366,479,-16.540107,20.381131,100
233,215,-13.147792,5.995211,100
145,331,-20.246748,7.609158,100
473,276,-5.916959,16.045960,100
394,132,-4.313804,7.991619,100
190,482,-23.377056,14.838692,100
420,270,-7.753910,14.112540,100
388,89,-3.161404,6.151925,100
391,243,-7.996677,12.146309,100
94,365,-23.292861,7.271962,100
383,239,-8.174488,11.735964,100
154,416,-22.634298,11.153816,100
402,252,-7.864690,12.844578,100
435,429,-12.290321,20.684144,100
484,291,-5.977835,16.974019,100
438,175,-4.010864,11.052784,100
265,512,-21.468995,18.398440,100
158,386,-21.516786,10.133440,100
487,296,-6.023660,17.261943,100
466,273,-6.088615,15.706057,100
170,360,-20.221463,9.523410,100
378,160,-5.826608,8.549671,100
384,469,-15.529297,20.576738,100
95,366,-23.286706,7.342404,100
424,276,-7.793580,14.470906,100
270,218,-11.827184,7.299432,100
390,134,-4.531285,7.939640,100
430,207,-5.345857,12.021181,100
407,452,-14.101987,20.664976,100
488,297,-6.017505,17.332385,100
473,397,-9.806376,20.680065,100
157,426,-22.840842,11.633232,100
236,341,-17.083034,10.917240,100
183,335,-18.919985,8.983821,100
392,100,-3.361794,6.701783,100
160,431,-22.886667,11.921156,100
400,449,-14.273644,20.325074,100
307,221,-10.506575,8.603653,100
213,214,-13.881616,5.314034,100
357,487,-17.141944,20.398223,100
278,343,-15.538789,12.343883,100
446,156,-3.093742,10.582266,100
444,375,-10.209862,18.905326,100
491,307,-6.224050,17.811801,100
154,393,-21.894987,10.272953,100
308,222,-10.500420,8.674096,100
220,338,-17.599377,10.288042,100
449,161,-3.139566,10.870190,100
494,312,-6.269874,18.099725,100
250,217,-12.561008,6.618255,100
329,510,-18.953610,20.379056,100
315,346,-14.218181,13.648104,100
167,368,-20.593510,9.733365,100
126,330,-20.942274,6.960124,100
198,206,-14.198941,4.525487,100
345,225,-9.179812,9.978317,100
135,415,-23.329824,10.504783,100
330,511,-18.947456,20.449498,100
376,478,-16.124979,20.664272,100
322,507,-19.125267,20.039153,100
316,347,-14.212026,13.718546,100
442,423,-11.829368,20.679361,100
179,458,-23.026884,13.565948,100
186,466,-23.015947,14.097342,100
373,472,-16.047011,20.338050,100
447,358,-9.548520,18.350685,100
327,176,-8.294130,7.523104,100
163,370,-20.810991,9.681386,100
431,413,-11.929211,19.942794,100
189,471,-23.061771,14.385266,100
373,63,-2.900138,4.674007,100
201,482,-22.955774,15.192276,100
153,405,-22.319013,10.700390,100
288,221,-11.234244,7.992918,100
443,244,-6.037304,13.856093,100
414,446,-13.641034,20.660194,100
328,177,-8.287975,7.593547,100
259,343,-16.266459,11.733148,100
171,459,-23.365415,13.347094,100
190,472,-23.055617,14.455709,100
385,153,-5.333512,8.506590,100
75,342,-23.281219,5.780364,100
411,440,-13.563066,20.333972,100
237,175,-11.708841,4.591851,100
330,223,-9.690000,9.419561,100
106,329,-21.676098,6.278947,100
369,65,-3.117619,4.622028,100
392,463,-15.030046,20.604100,100
493,366,-8.043946,20.135694,100
439,395,-11.044233,19.510574,100
196,488,-23.340130,15.261346,100
405,253,-7.781939,12.979308,100
458,408,-10.734435,20.619188,100
296,346,-14.945850,13.037369,100
465,267,-5.934050,15.444122,100
497,336,-6.926434,19.115318,100
341,497,-18.076158,20.266904,100
148,331,-20.131853,7.705589,100
209,198,-13.520507,4.572684,100
402,98,-2.914522,6.946625,100
279,522,-21.254257,19.231439,100
159,377,-21.189192,9.820899,100
427,420,-12.307413,20.082307,100
429,201,-5.191292,11.759246,100
386,239,-8.059593,11.832396,100
445,325,-8.564367,17.022550,100
232,181,-12.093197,4.660922,100
378,235,-8.237404,11.422051,100
393,135,-4.448534,8.074371,100
208,498,-23.201988,16.030058,100
268,512,-21.354100,18.494872,100
416,118,-3.021224,8.162609,100
144,333,-20.349335,7.653610,100
197,488,-23.301831,15.293490,100
90,362,-23.349622,7.028491,100
91,327,-22.186286,5.720191,100
387,240,-8.053438,11.902838,100
379,236,-8.231250,11.492493,100
371,232,-8.409061,11.082148,100
453,414,-11.118791,20.688259,100
351,174,-7.310680,8.217962,100
402,448,-14.164903,20.351063,100
438,142,-2.950114,9.788937,100
417,119,-3.015069,8.233051,100
462,270,-6.145377,15.462586,100
489,373,-8.422147,20.275207,100
239,341,-16.968139,11.013672,100
380,466,-15.586058,20.333268,100
186,335,-18.805090,9.080253,100
91,363,-23.343468,7.098933,100
137,330,-20.520992,7.313708,100
427,132,-3.049957,9.052369,100
115,391,-23.324337,8.942743,100
383,471,-15.631883,20.621191,100
373,161,-6.050244,8.427250,100
439,143,-2.943959,9.859379,100
449,416,-11.336272,20.636280,100
216,214,-13.766721,5.410466,100
484,294,-6.074267,17.088914,100
390,101,-3.470535,6.675793,100
487,299,-6.120092,17.376838,100
434,293,-7.957043,15.443418,100
116,392,-23.318182,9.013185,100
318,347,-14.135430,13.782834,100
311,222,-10.385525,8.770527,100
223,338,-17.484481,10.384474,100
497,349,-7.344305,19.613197,100
129,331,-20.859523,7.094854,100
443,378,-10.344593,18.988077,100
338,176,-7.872847,7.876688,100
126,405,-23.353070,9.832504,100
299,513,-20.198994,19.529633,100
253,217,-12.446112,6.714687,100
332,510,-18.838715,20.475488,100
438,299,-7.996713,15.801785,100
160,434,-22.983099,12.036051,100
414,436,-13.319595,20.277210,100
348,225,-9.064917,10.074748,100
254,218,-12.439958,6.785129,100
185,347,-19.229116,9.507690,100
171,449,-23.043976,12.964111,100
440,308,-8.209412,16.210758,100
339,176,-7.834549,7.908832,100
434,185,-4.485497,11.307192,100
356,494,-17.405250,20.634168,100
432,224,-5.815708,12.736541,100
234,505,-22.431238,17.133889,100
314,348,-14.320767,13.692557,100
262,158,-10.204934,4.744377,100
349,226,-9.058762,10.145191,100
448,348,-9.188782,17.999845,100
166,370,-20.696096,9.777818,100
494,315,-6.366306,18.214620,100
152,435,-23.321630,11.817198,100
441,309,-8.203257,16.281200,100
435,229,-5.861532,13.024465,100
239,174,-11.600100,4.617841,100
196,478,-23.018690,14.878363,100
291,221,-11.119349,8.089350,100
365,170,-6.645927,8.514784,100
497,326,-6.604994,18.732334,100
415,436,-13.281296,20.309354,100
436,230,-5.855378,13.094908,100
383,75,-2.902881,5.455028,100
352,496,-17.622732,20.582189,100
394,462,-14.921305,20.630089,100
65,323,-23.053468,4.731255,100
240,175,-11.593946,4.688283,100
156,441,-23.361300,12.175564,100
229,511,-22.815593,17.202960,100
208,488,-22.880549,15.647074,100
444,319,-8.409802,16.760616,100
181,354,-19.607317,9.647203,100
321,514,-19.388573,20.275098,100
313,510,-19.566384,19.864753,100
447,361,-9.644952,18.465580,100
197,478,-22.980392,14.910506,100
299,346,-14.830955,13.133801,100
71,339,-23.337981,5.536893,100
400,249,-7.844855,12.665395,100
271,513,-21.271349,18.629602,100
344,497,-17.961263,20.363336,100
375,76,-3.241412,5.236174,100
394,89,-2.931614,6.344788,100
282,522,-21.139362,19.327871,100
162,377,-21.074297,9.917331,100
153,408,-22.415445,10.815285,100
464,270,-6.068780,15.526874,100
276,219,-11.629537,7.530594,100
281,148,-9.155825,4.972128,100
475,279,-5.936794,16.225143,100
401,250,-7.838700,12.735837,100
203,494,-23.264905,15.716144,100
317,516,-19.606054,20.223119,100
222,507,-22.955106,16.824758,100
