cell_x,cell_y,world_x_m,world_y_m,hits
235,505,-22.392939,17.166033,100
236,504,-22.322497,17.159879,100
236,505,-22.354641,17.198177,100
236,506,-22.386785,17.236475,100
237,505,-22.316343,17.230321,100
155,396,-21.953121,10.419993,100
156,395,-21.882679,10.413838,100
156,396,-21.914823,10.452137,100
156,397,-21.946966,10.490435,100
157,396,-21.876524,10.484280,100
350,492,-17.570753,20.364707,100
351,491,-17.500310,20.358553,100
351,492,-17.532454,20.396851,100
351,493,-17.564598,20.435150,100
352,492,-17.494156,20.428995,100
296,521,-20.571040,19.739588,100
297,520,-20.500598,19.733433,100
297,521,-20.532742,19.771732,100
297,522,-20.564886,19.810030,100
298,521,-20.494444,19.803876,100
396,459,-14.748277,20.579482,100
397,458,-14.677834,20.573327,100
397,459,-14.709978,20.611626,100
397,460,-14.742122,20.649924,100
398,459,-14.671680,20.643770,100
217,191,-12.989112,4.561746,100
218,190,-12.918670,4.555592,100
218,191,-12.950814,4.593890,100
218,192,-12.982958,4.632189,100
219,191,-12.912515,4.626034,100
386,149,-5.166638,8.385540,100
387,148,-5.096196,8.379386,100
387,149,-5.128339,8.417684,100
387,150,-5.160483,8.455983,100
388,149,-5.090041,8.449828,100
119,330,-21.210363,6.735117,100
120,329,-21.139920,6.728962,100
120,330,-21.172064,6.767261,100
120,331,-21.204208,6.805559,100
121,330,-21.133766,6.799405,100
66,324,-23.047314,4.801697,100
67,323,-22.976872,4.795543,100
67,324,-23.009016,4.833841,100
67,325,-23.041160,4.872140,100
68,324,-22.970717,4.865985,100
494,356,-7.684208,19.784854,100
495,355,-7.613765,19.778699,100
495,356,-7.645909,19.816998,100
495,357,-7.678053,19.855296,100
496,356,-7.607611,19.849142,100
495,321,-6.520871,18.476554,100
496,320,-6.450429,18.470400,100
496,321,-6.482573,18.508698,100
496,322,-6.514717,18.546996,100
497,321,-6.444275,18.540842,100
440,385,-10.684495,19.159734,100
441,384,-10.614053,19.153580,100
441,385,-10.646197,19.191878,100
441,386,-10.678341,19.230177,100
442,385,-10.607899,19.224022,100
157,442,-23.355146,12.246007,100
158,441,-23.284703,12.239852,100
158,442,-23.316847,12.278151,100
158,443,-23.348991,12.316449,100
159,442,-23.278549,12.310294,100
292,221,-11.081051,8.121494,100
293,220,-11.010608,8.115340,100
293,221,-11.042752,8.153638,100
293,222,-11.074896,8.191936,100
294,221,-11.004454,8.185782,100
373,66,-2.996570,4.788903,100
374,65,-2.926127,4.782748,100
374,66,-2.958271,4.821046,100
374,67,-2.990415,4.859345,100
375,66,-2.919973,4.853190,100
228,502,-22.564596,16.826130,100
229,501,-22.494154,16.819976,100
229,502,-22.526298,16.858274,100
229,503,-22.558442,16.896573,100
230,502,-22.487999,16.890418,100
263,343,-16.113265,11.861724,100
264,342,-16.042823,11.855569,100
264,343,-16.074967,11.893868,100
264,344,-16.107111,11.932166,100
265,343,-16.036669,11.926012,100
430,191,-4.831554,11.408407,100
431,190,-4.761112,11.402252,100
431,191,-4.793256,11.440550,100
431,192,-4.825400,11.478849,100
432,191,-4.754957,11.472694,100
161,332,-19.666118,8.161759,100
162,331,-19.595676,8.155605,100
162,332,-19.627820,8.193903,100
162,333,-19.659964,8.232201,100
163,332,-19.589521,8.226047,100
391,120,-4.042972,7.435607,100
392,119,-3.972529,7.429452,100
392,120,-4.004673,7.467751,100
392,121,-4.036817,7.506049,100
393,120,-3.966375,7.499895,100
238,515,-22.599484,17.645449,100
239,514,-22.529041,17.639294,100
239,515,-22.561185,17.677593,100
239,516,-22.593329,17.715891,100
240,515,-22.522887,17.709737,100
394,125,-4.088796,7.723531,100
395,124,-4.018354,7.717376,100
395,125,-4.050498,7.755675,100
395,126,-4.082642,7.793973,100
396,125,-4.012199,7.787818,100
375,67,-2.952117,4.891489,100
375,68,-2.984261,4.929787,100
376,67,-2.913818,4.923633,100
440,241,-6.055767,13.644766,100
441,240,-5.985325,13.638611,100
441,241,-6.017469,13.676910,100
441,242,-6.049613,13.715208,100
442,241,-5.979171,13.709054,100
366,63,-3.168227,4.449000,100
367,62,-3.097784,4.442845,100
367,63,-3.129928,4.481144,100
367,64,-3.162072,4.519442,100
368,63,-3.091630,4.513288,100
445,356,-9.560829,18.209801,100
446,355,-9.490387,18.203646,100
446,356,-9.522531,18.241945,100
446,357,-9.554675,18.280243,100
447,356,-9.484232,18.274088,100
168,456,-23.383878,13.135767,100
169,455,-23.313436,13.129613,100
169,456,-23.345580,13.167911,100
169,457,-23.377724,13.206210,100
170,456,-23.307282,13.200055,100
322,514,-19.350275,20.307242,100
323,513,-19.279832,20.301087,100
323,514,-19.311976,20.339386,100
323,515,-19.344120,20.377684,100
324,514,-19.273678,20.371530,100
432,192,-4.787101,11.510993,100
432,193,-4.819245,11.549291,100
433,192,-4.748803,11.543137,100
214,194,-13.200439,4.580210,100
215,193,-13.129997,4.574055,100
215,194,-13.162141,4.612354,100
215,195,-13.194285,4.650652,100
216,194,-13.123842,4.644498,100
443,166,-3.530076,10.868818,100
444,165,-3.459634,10.862663,100
444,166,-3.491778,10.900962,100
444,167,-3.523922,10.939260,100
445,166,-3.453480,10.933106,100
171,461,-23.429703,13.423691,100
172,460,-23.359261,13.417537,100
172,461,-23.391405,13.455835,100
172,462,-23.423549,13.494134,100
173,461,-23.353106,13.487979,100
206,339,-18.167698,9.876325,100
207,338,-18.097256,9.870171,100
207,339,-18.129400,9.908469,100
207,340,-18.161544,9.946768,100
208,339,-18.091101,9.940613,100
204,495,-23.258750,15.786587,100
205,494,-23.188308,15.780432,100
205,495,-23.220452,15.818731,100
205,496,-23.252596,15.857029,100
206,495,-23.182153,15.850875,100
231,512,-22.771141,17.305546,100
232,511,-22.700698,17.299392,100
232,512,-22.732842,17.337690,100
232,513,-22.764986,17.375988,100
233,512,-22.694544,17.369834,100
223,508,-22.948952,16.895201,100
224,507,-22.878510,16.889046,100
224,508,-22.910653,16.927345,100
224,509,-22.942797,16.965643,100
225,508,-22.872355,16.959489,100
346,499,-17.948954,20.504220,100
347,498,-17.878512,20.498066,100
347,499,-17.910656,20.536364,100
347,500,-17.942800,20.574663,100
348,499,-17.872357,20.568508,100
104,328,-21.720551,6.176361,100
105,327,-21.650108,6.170206,100
105,328,-21.682252,6.208505,100
105,329,-21.714396,6.246803,100
106,328,-21.643954,6.240649,100
462,265,-5.984657,15.271094,100
463,264,-5.914215,15.264939,100
463,265,-5.946359,15.303238,100
463,266,-5.978503,15.341536,100
464,265,-5.908061,15.335382,100
354,174,-7.195785,8.314394,100
355,173,-7.125343,8.308240,100
355,174,-7.157487,8.346538,100
355,175,-7.189631,8.384836,100
356,174,-7.119188,8.378682,100
399,96,-2.965130,6.773597,100
400,95,-2.894687,6.767442,100
400,96,-2.926831,6.805741,100
400,97,-2.958975,6.844039,100
401,96,-2.888533,6.837885,100
478,389,-9.357732,20.534398,100
479,388,-9.287290,20.528243,100
479,389,-9.319434,20.566542,100
479,390,-9.351578,20.604840,100
480,389,-9.281135,20.598686,100
148,334,-20.228285,7.820485,100
149,333,-20.157843,7.814330,100
149,334,-20.189987,7.852629,100
149,335,-20.222131,7.890927,100
150,334,-20.151688,7.884772,100
277,219,-11.591239,7.562738,100
278,218,-11.520797,7.556584,100
278,219,-11.552940,7.594882,100
278,220,-11.585084,7.633180,100
279,219,-11.514642,7.627026,100
435,427,-12.226033,20.607547,100
436,426,-12.155591,20.601393,100
436,427,-12.187735,20.639691,100
436,428,-12.219879,20.677989,100
437,427,-12.149436,20.671835,100
193,485,-23.358593,15.050019,100
194,484,-23.288151,15.043865,100
194,485,-23.320295,15.082163,100
194,486,-23.352439,15.120462,100
195,485,-23.281996,15.114307,100
154,414,-22.570010,11.077220,100
155,413,-22.499568,11.071065,100
155,414,-22.531712,11.109364,100
155,415,-22.563856,11.147662,100
156,414,-22.493414,11.141508,100
301,347,-14.786502,13.236387,100
302,346,-14.716060,13.230233,100
302,347,-14.748204,13.268531,100
302,348,-14.780348,13.306829,100
303,347,-14.709905,13.300675,100
173,462,-23.385250,13.526278,100
173,463,-23.417394,13.564576,100
174,462,-23.346952,13.558421,100
283,150,-9.143516,5.113013,100
284,149,-9.073074,5.106858,100
284,150,-9.105218,5.145157,100
284,151,-9.137362,5.183455,100
285,150,-9.066920,5.177300,100
394,246,-7.978213,12.357636,100
395,245,-7.907771,12.351482,100
395,246,-7.939915,12.389780,100
395,247,-7.972059,12.428079,100
396,246,-7.901617,12.421924,100
429,204,-5.287724,11.874142,100
430,203,-5.217282,11.867987,100
430,204,-5.249425,11.906286,100
430,205,-5.281569,11.944584,100
