cell_x,cell_y,world_x_m,world_y_m,hits,boundary_label
373,394,13.689250,5.138369,100,outer
371,321,13.589250,1.488369,100,outer
3,303,-4.810751,0.588368,100,outer
2,338,-4.860751,2.338369,100,outer
183,270,4.189250,-1.061632,100,outer
348,566,12.439250,13.738369,100,outer
241,440,7.089250,7.438369,100,outer
330,289,11.539250,-0.111632,100,outer
220,417,6.039250,6.288369,100,outer
235,280,6.789250,-0.561632,100,outer
310,45,10.539250,-12.311632,100,outer
550,292,22.539250,0.038368,100,outer
428,37,16.439250,-12.711632,100,outer
243,400,7.189250,5.438369,100,outer
145,243,2.289250,-2.411632,100,outer
223,571,6.189250,13.988369,100,outer
551,373,22.589250,4.088369,100,outer
349,567,12.489250,13.788369,100,outer
242,441,7.139250,7.488369,100,outer
311,46,10.589250,-12.261632,100,outer
439,52,16.989250,-11.961632,100,outer
194,135,4.739250,-7.811632,100,outer
220,273,6.039250,-0.911632,100,outer
167,267,3.389250,-1.211632,100,outer
9,355,-4.510751,3.188369,100,outer
322,406,11.139250,5.738369,100,outer
315,281,10.789250,-0.511632,100,outer
556,344,22.839250,2.638369,100,outer
367,557,13.389250,13.288369,100,outer
388,351,14.439250,2.988369,100,outer
19,368,-4.010751,3.838369,100,outer
496,213,19.839250,-3.911632,100,outer
273,284,8.689250,-0.361632,100,outer
166,158,3.339250,-6.661632,100,outer
341,10,12.089250,-14.061632,100,outer
364,402,13.239250,5.538369,100,outer
499,218,19.989250,-3.661632,100,outer
232,103,6.639250,-9.411632,100,outer
2,315,-4.860751,1.188368,100,outer
520,241,21.039250,-2.511632,100,outer
377,341,13.889250,2.488369,100,outer
215,279,5.789250,-0.611632,100,outer
140,514,2.039250,11.138369,100,outer
389,352,14.489250,3.038369,100,outer
20,369,-3.960751,3.888369,100,outer
376,4,13.839250,-14.361632,100,outer
354,394,12.739250,5.138369,100,outer
308,98,10.439250,-9.661632,100,outer
521,242,21.089250,-2.461632,100,outer
258,277,7.939250,-0.711632,100,outer
337,570,11.889250,13.938369,100,outer
457,486,17.889250,9.738369,100,outer
323,406,11.189250,5.738369,100,outer
310,287,10.539250,-0.211632,100,outer
141,515,2.089250,11.188369,100,outer
181,551,4.089250,12.988369,100,outer
