cell_x,cell_y,world_x_m,world_y_m,hits
373,394,13.689250,5.138369,100
371,321,13.589250,1.488369,100
3,303,-4.810751,0.588368,100
2,338,-4.860751,2.338369,100
183,270,4.189250,-1.061632,100
348,566,12.439250,13.738369,100
241,440,7.089250,7.438369,100
330,289,11.539250,-0.111632,100
220,417,6.039250,6.288369,100
235,280,6.789250,-0.561632,100
310,45,10.539250,-12.311632,100
550,292,22.539250,0.038368,100
428,37,16.439250,-12.711632,100
243,400,7.189250,5.438369,100
145,243,2.289250,-2.411632,100
223,571,6.189250,13.988369,100
551,373,22.589250,4.088369,100
349,567,12.489250,13.788369,100
242,441,7.139250,7.488369,100
311,46,10.589250,-12.261632,100
439,52,16.989250,-11.961632,100
194,135,4.739250,-7.811632,100
220,273,6.039250,-0.911632,100
167,267,3.389250,-1.211632,100
9,355,-4.510751,3.188369,100
322,406,11.139250,5.738369,100
315,281,10.789250,-0.511632,100
556,344,22.839250,2.638369,100
367,557,13.389250,13.288369,100
388,351,14.439250,2.988369,100
19,368,-4.010751,3.838369,100
496,213,19.839250,-3.911632,100
273,284,8.689250,-0.361632,100
166,158,3.339250,-6.661632,100
341,10,12.089250,-14.061632,100
364,402,13.239250,5.538369,100
499,218,19.989250,-3.661632,100
232,103,6.639250,-9.411632,100
2,315,-4.860751,1.188368,100
520,241,21.039250,-2.511632,100
377,341,13.889250,2.488369,100
215,279,5.789250,-0.611632,100
140,514,2.039250,11.138369,100
389,352,14.489250,3.038369,100
20,369,-3.960751,3.888369,100
376,4,13.839250,-14.361632,100
354,394,12.739250,5.138369,100
308,98,10.439250,-9.661632,100
521,242,21.089250,-2.461632,100
258,277,7.939250,-0.711632,100
337,570,11.889250,13.938369,100
457,486,17.889250,9.738369,100
323,406,11.189250,5.738369,100
310,287,10.539250,-0.211632,100
141,515,2.089250,11.188369,100
181,551,4.089250,12.988369,100
45,398,-2.710750,5.338369,100
309,99,10.489250,-9.611632,100
265,401,8.289250,5.488369,100
301,95,10.089250,-9.811632,100
311,288,10.589250,-0.161632,100
337,426,11.889250,6.738369,100
248,577,7.439250,14.288369,100
283,455,9.189250,8.188369,100
479,101,18.989250,-9.511632,100
295,280,9.789250,-0.561632,100
349,400,12.489250,5.438369,100
201,273,5.089250,-0.911632,100
429,509,16.489250,10.888369,100
46,399,-2.660750,5.388369,100
495,454,19.789250,8.138369,100
266,402,8.339250,5.538369,100
253,283,7.689250,-0.411632,100
49,404,-2.510750,5.638369,100
508,164,20.439250,-6.361632,100
56,263,-2.160750,-1.411632,100
539,268,21.989250,-1.161632,100
249,578,7.489250,14.338369,100
216,401,5.839250,5.488369,100
376,390,13.839250,4.938369,100
337,282,11.889250,-0.461632,100
496,455,19.839250,8.188369,100
483,107,19.189250,-9.211632,100
201,129,5.089250,-8.111632,100
330,14,11.539250,-13.861632,100
536,262,21.839250,-1.461632,100
4,338,-4.760751,2.338369,100
361,1,13.089250,-14.511632,100
224,112,6.239250,-8.961632,100
303,405,10.189250,5.688369,100
377,354,13.889250,3.138369,100
252,94,7.639250,-9.861632,100
285,91,9.289250,-10.011632,100
81,441,-0.910750,7.488369,100
1,332,-4.910751,2.038369,100
26,276,-3.660750,-0.761632,100
309,76,10.489250,-10.761632,100
547,393,22.389250,5.088369,100
305,451,10.289250,7.988369,100
280,278,9.039250,-0.661632,100
185,269,4.289250,-1.111632,100
494,201,19.739250,-4.511632,100
371,396,13.589250,5.238369,100
138,194,1.939250,-4.861632,100
238,281,6.939250,-0.511632,100
337,403,11.889250,5.588369,100
143,272,2.189250,-0.961632,100
85,447,-0.710750,7.788369,100
543,279,22.189250,-0.611632,100
6,303,-4.660751,0.588368,100
226,572,6.339250,14.038369,100
186,270,4.339250,-1.061632,100
507,176,20.389250,-5.761632,100
464,480,18.239250,9.438369,100
384,371,14.239250,3.988369,100
8,349,-4.560751,2.888369,100
556,334,22.839250,2.138369,100
388,341,14.439250,2.488369,100
333,405,11.689250,5.688369,100
423,33,16.189250,-12.911632,100
174,152,3.739250,-6.961632,100
315,91,10.789250,-10.011632,100
349,4,12.489250,-14.361632,100
45,267,-2.710750,-1.211632,100
554,373,22.739250,4.088369,100
398,534,14.939250,12.138369,100
2,305,-4.860751,0.688368,100
256,450,7.839250,7.938369,100
318,282,10.939250,-0.461632,100
248,446,7.439250,7.738369,100
223,273,6.189250,-0.911632,100
377,331,13.889250,1.988369,100
389,342,14.489250,2.538369,100
276,285,8.839250,-0.311632,100
424,34,16.239250,-12.861632,100
181,276,4.089250,-0.761632,100
316,92,10.839250,-9.961632,100
132,271,1.639250,-1.011632,100
322,23,11.139250,-13.411632,100
111,477,0.589250,9.288369,100
549,294,22.489250,0.138368,100
555,374,22.789250,4.138369,100
325,406,11.289250,5.738369,100
321,27,11.089250,-13.211632,100
266,91,8.339250,-10.011632,100
212,120,5.639250,-8.561632,100
356,393,12.839250,5.088369,100
491,209,19.589250,-4.111632,100
227,279,6.389250,-0.611632,100
155,260,2.789250,-1.561632,100
449,63,17.489250,-11.411632,100
260,276,8.039250,-0.761632,100
235,103,6.789250,-9.411632,100
322,108,11.139250,-9.161632,100
503,183,20.189250,-5.411632,100
124,272,1.239250,-0.961632,100
122,491,1.139250,9.988369,100
552,304,22.639250,0.638368,100
379,4,13.989250,-14.361632,100
460,78,18.039250,-10.661632,100
538,406,21.939250,5.738369,100
371,0,13.589250,-14.561632,100
301,579,10.089250,14.388369,100
294,454,9.739250,8.138369,100
317,29,10.889250,-13.111632,100
556,311,22.839250,0.988368,100
261,277,8.089250,-0.711632,100
516,238,20.839250,-2.661632,100
359,291,12.989250,-0.011632,100
508,154,20.439250,-6.861632,100
170,275,3.539250,-0.811632,100
377,308,13.889250,0.838368,100
147,520,2.389250,11.438369,100
388,354,14.439250,3.138369,100
433,505,16.689250,10.688369,100
133,213,1.689250,-3.911632,100
308,65,10.439250,-11.311632,100
555,351,22.789250,2.988369,100
254,94,7.739250,-9.861632,100
298,280,9.939250,-0.561632,100
527,252,21.389250,-1.961632,100
377,344,13.889250,2.638369,100
148,521,2.439250,11.488369,100
302,579,10.139250,14.388369,100
281,456,9.089250,8.238369,100
256,283,7.839250,-0.411632,100
297,92,9.889250,-9.961632,100
113,271,0.689250,-1.011632,100
151,526,2.589250,11.738369,100
252,578,7.639250,14.338369,100
309,66,10.489250,-11.261632,100
534,413,21.739250,6.088369,100
405,528,15.289250,11.838369,100
455,488,17.789250,9.838369,100
313,36,10.689250,-12.761632,100
336,428,11.839250,6.838369,100
486,107,19.339250,-9.211632,100
428,511,16.439250,10.988369,100
328,573,11.439250,14.088369,100
155,273,2.789250,-0.911632,100
241,276,7.089250,-0.761632,100
66,424,-1.660750,6.638369,100
494,456,19.739250,8.238369,100
181,145,4.089250,-7.311632,100
380,550,14.039250,12.938369,100
472,474,18.639250,9.138369,100
355,563,12.789250,13.588369,100
376,357,13.839250,3.288369,100
67,425,-1.610750,6.688369,100
283,278,9.189250,-0.661632,100
554,363,22.739250,3.588369,100
324,575,11.239250,14.188369,100
192,276,4.639250,-0.761632,100
77,438,-1.110750,7.338369,100
558,333,22.939250,2.088369,100
249,401,7.489250,5.488369,100
329,281,11.489250,-0.511632,100
369,317,13.489250,1.288368,100
504,133,20.239250,-7.911632,100
92,454,-0.360750,8.138369,100
287,284,9.389250,-0.361632,100
4,341,-4.760751,2.488369,100
259,451,7.989250,7.988369,100
218,413,5.939250,6.088369,100
98,268,-0.060750,-1.161632,100
251,447,7.589250,7.788369,100
226,274,6.339250,-0.861632,100
17,280,-4.110751,-0.561632,100
102,467,0.139250,8.788369,100
444,496,17.239250,10.238369,100
316,576,10.839250,14.238369,100
1,335,-4.910751,2.188369,100
143,239,2.189250,-2.611632,100
229,279,6.489250,-0.611632,100
491,199,19.589250,-4.611632,100
430,40,16.539250,-12.561632,100
5,305,-4.710751,0.688368,100
286,404,9.339250,5.638369,100
321,282,11.089250,-0.461632,100
172,153,3.639250,-6.911632,100
272,277,8.639250,-0.711632,100
397,537,14.889250,12.288369,100
243,442,7.189250,7.538369,100
507,143,20.389250,-7.411632,100
222,419,6.139250,6.388369,100
103,468,0.189250,8.838369,100
230,280,6.539250,-0.561632,100
325,23,11.289250,-13.411632,100
376,334,13.839250,2.138369,100
7,351,-4.610751,2.988369,100
106,473,0.339250,9.088369,100
497,215,19.889250,-3.811632,100
312,578,10.639250,14.338369,100
252,447,7.639250,7.788369,100
244,443,7.239250,7.588369,100
239,99,6.989250,-9.611632,100
508,144,20.439250,-7.361632,100
325,288,11.289250,-0.161632,100
441,54,17.089250,-11.861632,100
343,422,12.189250,6.538369,100
8,352,-4.560751,3.038369,100
355,396,12.789250,5.238369,100
555,324,22.789250,1.638369,100
11,357,-4.410751,3.288369,100
267,283,8.389250,-0.411632,100
210,566,5.539250,13.738369,100
133,203,1.689250,-4.411632,100
308,55,10.439250,-11.811632,100
541,406,22.089250,5.738369,100
374,0,13.739250,-14.561632,100
145,177,2.289250,-5.711632,100
320,29,11.039250,-13.111632,100
508,229,20.439250,-3.111632,100
36,270,-3.160750,-1.061632,100
264,277,8.239250,-0.711632,100
211,122,5.589250,-8.461632,100
445,60,17.289250,-11.561632,100
1,312,-4.910751,1.038368,100
498,215,19.939250,-3.811632,100
558,346,22.939250,2.738369,100
132,503,1.639250,10.588369,100
435,504,16.789250,10.638369,100
173,275,3.689250,-0.811632,100
502,185,20.139250,-5.311632,100
309,56,10.489250,-11.761632,100
522,429,21.139250,6.888369,100
413,522,15.689250,11.538369,100
71,264,-1.410750,-1.361632,100
380,345,14.039250,2.688369,100
375,1,13.789250,-14.511632,100
479,467,18.989250,8.788369,100
22,371,-3.860751,3.988369,100
115,270,0.789250,-1.061632,100
537,408,21.889250,5.838369,100
136,213,1.839250,-3.911632,100
502,450,20.139250,7.938369,100
549,382,22.489250,4.538369,100
456,74,17.839250,-10.861632,100
305,287,10.289250,-0.211632,100
143,517,2.189250,11.288369,100
210,278,5.539250,-0.661632,100
552,307,22.639250,0.788368,100
116,271,0.839250,-1.011632,100
47,400,-2.610750,5.438369,100
316,445,10.839250,7.688369,100
537,264,21.889250,-1.361632,100
0,325,-4.960751,1.688369,100
309,406,10.489250,5.738369,100
295,93,9.789250,-9.911632,100
141,184,2.089250,-5.361632,100
316,36,10.839250,-12.761632,100
474,473,18.739250,9.088369,100
307,67,10.389250,-11.211632,100
179,147,3.989250,-7.211632,100
58,415,-2.060750,6.188369,100
357,562,12.889250,13.538369,100
244,276,7.239250,-0.761632,100
558,323,22.939250,1.588369,100
538,265,21.939250,-1.311632,100
288,90,9.439250,-10.061632,100
312,447,10.639250,7.788369,100
308,68,10.439250,-11.161632,100
387,361,14.389250,3.488369,100
363,4,13.189250,-14.361632,100
243,576,7.189250,14.238369,100
379,357,13.989250,3.288369,100
372,318,13.639250,1.338369,100
312,38,10.639250,-12.661632,100
3,335,-4.810751,2.188369,100
157,164,2.889250,-6.361632,100
332,16,11.639250,-13.761632,100
248,282,7.439250,-0.461632,100
195,276,4.789250,-0.761632,100
252,401,7.639250,5.488369,100
84,445,-0.760750,7.688369,100
332,281,11.639250,-0.511632,100
280,91,9.039250,-10.011632,100
541,275,22.089250,-0.811632,100
546,390,22.339250,4.938369,100
350,415,12.539250,6.188369,100
87,450,-0.610750,7.938369,100
544,280,22.239250,-0.561632,100
311,78,10.589250,-10.661632,100
180,269,4.039250,-1.111632,100
139,231,1.989250,-3.011632,100
241,99,7.089250,-9.611632,100
385,372,14.289250,4.038369,100
422,31,16.139250,-13.011632,100
138,272,1.939250,-0.961632,100
218,115,5.939250,-8.811632,100
88,451,-0.560750,7.988369,100
281,580,9.089250,14.438369,100
220,570,6.039250,13.938369,100
509,444,20.489250,7.638369,100
214,410,5.739250,5.938369,100
375,364,13.789250,3.638369,100
247,444,7.389250,7.638369,100
335,291,11.789250,-0.011632,100
286,286,9.339250,-0.261632,100
4,308,-4.760751,0.838368,100
233,280,6.689250,-0.561632,100
219,116,5.989250,-8.761632,100
558,336,22.939250,2.238369,100
241,400,7.089250,5.438369,100
113,480,0.689250,9.438369,100
221,571,6.089250,13.988369,100
213,567,5.689250,13.788369,100
347,567,12.389250,13.788369,100
548,291,22.439250,-0.011632,100
366,400,13.339250,5.438369,100
123,493,1.189250,10.088369,100
164,265,3.239250,-1.311632,100
323,438,11.189250,7.338369,100
270,283,8.539250,-0.411632,100
136,203,1.839250,-4.411632,100
81,267,-0.910750,-1.211632,100
415,521,15.789250,11.488369,100
377,0,13.889250,-14.561632,100
481,466,19.089250,8.738369,100
11,288,-4.410751,-0.161632,100
313,281,10.689250,-0.511632,100
509,156,20.489250,-6.761632,100
124,494,1.239250,10.138369,100
554,307,22.739250,0.788368,100
28,377,-3.560750,4.288369,100
332,114,11.639250,-8.861632,100
518,241,20.939250,-2.511632,100
255,276,7.789250,-0.761632,100
382,380,14.139250,4.438369,100
0,315,-4.960751,1.188368,100
187,141,4.389250,-7.511632,100
213,279,5.689250,-0.611632,100
307,57,10.389250,-11.711632,100
118,270,0.939250,-1.061632,100
515,235,20.789250,-2.811632,100
262,580,8.139250,14.438369,100
379,311,13.989250,0.988368,100
29,378,-3.510750,4.338369,100
149,523,2.489250,11.588369,100
308,287,10.439250,-0.211632,100
39,391,-3.010750,4.988369,100
119,271,0.989250,-1.011632,100
529,255,21.489250,-1.811632,100
412,524,15.639250,11.638369,100
150,524,2.539250,11.638369,100
306,97,10.339250,-9.711632,100
357,408,12.889250,5.838369,100
466,86,18.339250,-10.261632,100
263,401,8.189250,5.488369,100
369,382,13.489250,4.538369,100
314,446,10.739250,7.738369,100
7,295,-4.610751,0.188368,100
309,288,10.489250,-0.161632,100
557,353,22.889250,3.088369,100
214,279,5.739250,-0.611632,100
246,577,7.339250,14.288369,100
198,271,4.939250,-1.011632,100
488,110,19.439250,-9.061632,100
43,397,-2.810750,5.288369,100
358,409,12.939250,5.888369,100
533,261,21.689250,-1.511632,100
