stamp_sec,ego_x,ego_y,ego_yaw_deg,target_truth_x,target_truth_y,baseline_scan_id,wall_beam_count,dynamic_beam_count,cluster_count,target_detected,detected_local_x,detected_local_y,detected_world_x,detected_world_y,confidence,lock_frames
1784573300.950574,-15.613900,10.026200,58.355043,-14.156700,12.586100,25,1081,111,1,1,2.582758,0.090057,-14.335513,12.272191,0.726523,1
1784573300.976650,-15.498500,10.214500,58.710069,-14.156700,12.586100,26,1081,49,1,1,2.579994,0.095669,-14.240286,12.468922,0.860128,2
1784573301.075904,-15.394200,10.386800,58.985870,-14.060800,12.785000,26,1081,111,1,1,2.580788,0.101357,-14.151318,12.650863,0.990000,3
1784573301.103601,-15.287500,10.565200,59.250312,-13.982900,12.956000,27,1081,99,1,1,2.524102,0.109989,-14.091481,12.790673,0.990000,4
1784573301.205749,-15.186500,10.735700,59.485604,-13.927900,13.102400,28,1081,19,1,1,2.464905,0.128943,-14.046017,12.924691,0.990000,5
1784573301.269194,-15.071400,10.931700,59.751035,-13.895200,13.227800,28,1081,19,1,1,2.401572,0.146554,-13.988188,13.080113,0.990000,6
1784573301.341163,-14.962100,11.119900,59.990075,-13.870200,13.371000,29,1081,21,1,1,2.269074,0.208020,-14.007355,13.188820,0.990000,7
1784573301.407401,-14.852000,11.311400,60.241584,-13.857500,13.509300,30,1081,20,1,1,2.196915,0.244946,-13.974219,13.340177,0.990000,7
1784573301.430357,-14.749200,11.492000,60.505686,-13.855900,13.650100,30,1081,22,1,1,2.131777,0.294695,-13.956151,13.492598,0.960369,7
1784573301.546010,-14.644000,11.678800,60.797360,-13.865000,13.782300,31,1081,22,1,1,2.048213,0.337514,-13.939293,13.631358,0.945032,7
1784573301.569624,-14.530500,11.883300,61.143936,-13.885200,13.917400,32,1081,14,1,1,1.910843,0.414570,-13.971401,13.756959,0.889473,7
1784573301.677980,-14.427600,12.071300,61.585270,-13.919800,14.062300,33,1081,10,0,0,nan,nan,nan,nan,0.818315,7
1784573301.703766,-14.323200,12.265900,62.064866,-13.962700,14.191800,33,1081,27,1,1,1.722925,0.585003,-14.032896,14.062125,0.918946,7
1784573301.806871,-14.232600,12.438400,62.665667,-14.018100,14.321100,34,1081,28,1,1,1.526304,0.715604,-14.167450,14.122873,0.938469,7
1784573301.830960,-14.132700,12.635400,63.742820,-14.075900,14.430900,35,1081,30,1,1,1.433816,0.782678,-14.200298,14.267529,0.957395,7
1784573301.931548,-14.052700,12.804000,66.876816,-14.151400,14.549500,35,1081,30,1,1,1.338994,0.840991,-14.300293,14.365687,0.957200,7
1784573301.956278,-14.000400,12.940000,72.378887,-14.230200,14.653100,36,1081,31,1,1,1.303512,0.822227,-14.389446,14.431255,0.955107,7
1784573302.064388,-13.964200,13.074700,77.123076,-14.314200,14.747200,36,1081,31,1,1,1.295776,0.778342,-14.434194,14.511348,0.955514,7
1784573302.091727,-13.939400,13.211400,81.787879,-14.413000,14.841200,36,1081,32,1,1,1.294741,0.774213,-14.520736,14.603452,0.952371,7
1784573302.189560,-13.926400,13.339100,86.088826,-14.521100,14.927800,37,1081,31,1,1,1.285119,0.764394,-14.601356,14.673365,0.955603,7
1784573302.256382,-13.923100,13.473600,90.660210,-14.627300,14.999500,38,1073,65,1,1,1.277942,0.752785,-14.690560,14.742783,0.949957,7
1784573302.322023,-13.930700,13.607900,95.270580,-14.744400,15.065400,39,1061,63,1,1,1.270170,0.744472,-14.788701,14.804313,0.953183,7
1784573302.347232,-13.949700,13.745200,100.024060,-14.866600,15.121500,42,1049,113,1,1,1.264125,0.737206,-14.895688,14.861709,0.950304,7
1784573302.480220,-13.979000,13.876400,104.686554,-14.996900,15.168600,42,1073,138,1,1,1.258556,0.734320,-15.008411,14.907663,0.950013,7
1784573302.546340,-14.042500,14.066700,111.682490,-15.126700,15.203700,43,1081,163,1,1,1.240471,0.716243,-15.166373,14.954777,0.950361,7
1784573302.617429,-14.096800,14.187300,116.331959,-15.324700,15.236300,44,1081,215,1,1,1.227355,0.705409,-15.273434,14.974404,0.947295,7
1784573302.641778,-14.165100,14.310200,121.285576,-15.456900,15.244700,45,1081,217,1,1,1.218126,0.692640,-15.389600,14.991507,0.948012,7
1784573302.773648,-14.240100,14.421700,126.043840,-15.597800,15.242300,45,1081,232,1,1,1.209094,0.687629,-15.507530,14.994730,0.947705,7
1784573302.802939,-14.324000,14.526600,130.788526,-15.731800,15.229300,46,1081,228,1,1,1.205189,0.682148,-15.627785,14.993454,0.929597,7
1784573302.931857,-14.451000,14.656800,137.232649,-15.864400,15.205900,47,1081,258,1,1,1.187078,0.664713,-15.773810,14.974876,0.916670,7
1784573302.997536,-14.610200,14.785200,144.473330,-16.040700,15.158200,48,1081,269,1,1,1.172483,0.653217,-15.943992,14.934891,0.902782,7
1784573303.023661,-14.721200,14.857100,149.144481,-16.232300,15.083900,48,1081,296,2,1,1.161902,0.643690,-16.048783,14.900426,0.908064,7
1784573303.121188,-14.835900,14.918900,153.716937,-16.351600,15.024900,49,1081,244,2,1,1.150464,0.630765,-16.146732,14.862777,0.902231,7
1784573303.146197,-14.951300,14.969800,158.149423,-16.465000,14.959100,50,1081,223,3,1,1.143498,0.627053,-16.246028,14.813391,0.904749,7
1784573303.250062,-15.070300,15.011700,162.532652,-16.570500,14.888400,51,1081,119,1,1,1.136742,0.616474,-16.339667,14.764860,0.920821,7
1784573303.274268,-15.206400,15.047600,167.375594,-16.671700,14.811400,51,1081,162,1,1,1.131101,0.613512,-16.444244,14.696133,0.921297,7
1784573303.379761,-15.334800,15.070700,171.784210,-16.779700,14.719100,52,1081,62,1,1,1.124760,0.596945,-16.533321,14.640611,0.955545,7
1784573303.407481,-15.470800,15.084100,176.398480,-16.875200,14.628300,52,1081,125,3,1,1.123027,0.592949,-16.628856,14.562867,0.953196,7
1784573303.538423,-15.605400,15.086700,-179.142706,-16.970700,14.528400,53,1081,36,1,1,1.123040,0.586772,-16.719535,14.483190,0.953785,7
1784573303.566402,-15.735800,15.079400,-174.877451,-17.060700,14.425900,53,1081,201,2,1,1.124809,0.581569,-16.804190,14.399724,0.954564,7
1784573303.698193,-15.922500,15.051800,-168.834542,-17.154000,14.313200,54,1081,88,2,1,1.173847,0.597399,-16.958447,14.238401,0.957592,7
1784573303.727014,-16.055600,15.019700,-164.473946,-17.313000,14.103000,55,1081,40,2,1,1.220886,0.618134,-17.066475,14.097320,0.960583,7
1784573303.860923,-16.244300,14.955300,-158.365941,-17.433200,13.929200,56,1081,40,1,1,1.336675,0.644266,-17.249291,13.863616,0.968665,7
1784573303.892449,-16.367700,14.900600,-154.253233,-17.601900,13.667700,57,1081,33,1,1,1.467946,0.645623,-17.409457,13.681405,0.974551,7
1784573303.985499,-16.544400,14.803000,-148.467158,-17.713500,13.488500,58,1081,42,1,1,1.538656,0.633172,-17.524718,13.458625,0.977351,7
