stamp_sec,ego_x,ego_y,ego_yaw_deg,target_truth_x,target_truth_y,foreground_beam_count,cluster_count,target_detected,detected_local_x,detected_local_y,detected_world_x,detected_world_y,confidence
1783534361.455316,-20.872600,4.577400,40.010026,nan,nan,95,1,1,3.499824,-0.825312,-17.661362,6.195380,0.772087
1783534361.520539,-20.872600,4.577400,40.010026,-18.620600,6.468400,95,1,1,3.499824,-0.825312,-17.661362,6.195380,0.772087
1783534361.618370,-20.872600,4.577400,40.010026,-18.620600,6.468400,95,1,1,3.499824,-0.825312,-17.661362,6.195380,0.772087
1783534361.647536,-20.872600,4.577400,40.010026,-18.620600,6.468400,95,1,1,3.499824,-0.825312,-17.661362,6.195380,0.772087
1783534361.736529,-20.869000,4.580400,40.009745,-18.620600,6.468400,95,1,1,3.499824,-0.825312,-17.657754,6.198364,0.772087
1783534361.761391,-20.845900,4.599800,40.009239,-18.617000,6.471400,98,2,1,3.286741,-0.843043,-17.786449,6.067161,0.775938
1783534361.869032,-20.795000,4.642500,40.011814,-18.593900,6.490800,94,3,1,3.310873,-0.833755,-17.723104,6.132628,0.776579
1783534361.895198,-20.718200,4.706900,40.011430,-18.543100,6.533500,95,2,1,3.104868,-0.845496,-17.796528,6.055567,0.781070
1783534362.037585,-20.621200,4.788400,39.997918,-18.466300,6.598000,96,2,1,4.149616,-0.746149,-16.962719,6.884005,0.688784
1783534362.070784,-20.482300,4.905000,39.984412,-18.369400,6.679700,108,2,1,4.149616,-0.746149,-16.823325,6.999743,0.363784
1783534362.179882,-20.248600,5.100900,39.960789,-18.231900,6.797900,104,2,1,5.147665,-0.606060,-15.913746,7.942520,0.578176
1783534362.256179,-20.052600,5.265000,39.950530,-18.004900,7.001400,96,0,1,5.147665,-0.606060,-15.717237,8.105844,0.353176
1783534362.327360,-19.863400,5.423400,39.923991,-17.818500,7.176300,117,3,1,5.701460,-0.509547,-15.163958,8.691660,0.499783
1783534362.398124,-19.683900,5.573300,39.753143,-17.642300,7.348900,88,0,1,5.701460,-0.509547,-14.974733,8.827532,0.349783
1783534362.466375,-19.506300,5.720500,39.522194,-17.478800,7.516100,52,0,1,5.701460,-0.509547,-14.784054,8.955724,0.349783
1783534362.535443,-19.338200,5.858700,39.291541,-17.321300,7.684400,97,0,1,5.701460,-0.509547,-14.602969,9.074888,0.349783
1783534362.599563,-19.167100,5.998400,39.157997,-17.176000,7.846300,88,0,1,5.701460,-0.509547,-14.424385,9.203542,0.349783
1783534362.694039,-18.998300,6.135800,39.181493,-17.031900,8.013600,91,0,1,5.701460,-0.509547,-14.256900,9.342887,0.349783
1783534362.722740,-18.837300,6.267300,39.254955,-16.893200,8.181300,105,0,1,5.701460,-0.509547,-14.100016,9.480464,0.349783
1783534362.823823,-18.611300,6.452700,39.656293,-16.763700,8.343900,134,0,1,5.701460,-0.509547,-13.896639,9.698968,0.349783
1783534362.848833,-18.439500,6.596600,40.327139,-16.586400,8.576300,117,0,1,5.701460,-0.509547,-13.763170,9.897845,0.349783
